Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,0,-1,0,0,0,3,107
0,0,0,-1,-1,0,0,0,0,17,5,6,0,0,0,0,31377,0,0,0,9,432
0,0,0,0,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,1,63
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,194,1,0,0,1,0
0,0,0,0,-1,0,0,0,0,11,4,5,0,0,0,0,-1,0,0,0,6,63
0,0,0,1,0,1,0,0,0,17,4,5,0,0,0,0,-1,1,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,1,0,0,3,167
0,0,1,0,0,1,0,0,0,15,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,22,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,237,0,0,0,1,14
0,0,0,1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,10,0
0,0,0,0,0,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,1,0
0,0,0,-1,-1,0,0,0,0,22,4,5,0,0,0,0,4436,0,0,0,1,99
0,0,0,1,-1,0,0,0,0,13,4,5,0,0,0,0,7743,0,0,0,14,82
0,0,0,-1,-1,-1,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,21,4,5,0,0,0,0,-1,0,0,0,1,444
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,13335,0,0,0,4,44
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,237,0,0,0,5,323
0,0,0,0,0,0,0,0,0,19,4,5,0,0,0,0,-1,0,0,0,7,53
0,0,0,0,-1,0,0,0,0,18,4,5,0,0,0,0,2914,0,0,0,40,237
0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,0,-1,1,0,0,7,376
0,0,0,-1,-1,0,0,0,0,14,5,6,0,0,0,0,1273,0,0,0,3,103
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,13,38
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,0,-1,0,0,0,17,181
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,9,235
0,0,0,-1,-1,0,0,0,0,14,5,6,0,0,0,0,-1,0,0,0,5,360
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,19,396
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,15169,0,0,0,0,16
0,0,0,-1,-1,1,0,0,0,19,5,6,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,1,0,0,0,0,0,15,4,5,0,0,0,0,9498,0,0,0,0,192
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,14618,0,0,0,7,121
0,0,0,1,0,1,0,0,0,15,4,5,0,0,0,0,29789,0,0,-1,-1,-1
0,0,1,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,0,31
0,0,0,0,0,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,3,27
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,4,214
0,0,0,0,0,0,0,0,0,21,4,5,0,0,0,0,10794,0,0,0,2,184
0,0,0,1,-1,0,0,0,0,18,4,5,0,0,0,0,10837,0,0,0,7,178
0,0,0,-1,-1,1,0,0,0,21,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,4,283
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,4436,0,0,0,2,225
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,9498,0,0,0,14,47
0,0,-1,1,0,1,0,0,0,18,4,5,0,0,0,0,32244,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,2,25
0,0,0,-1,-1,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,14,102
0,0,0,1,0,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,26,37
0,0,0,-1,-1,1,0,0,0,19,5,6,0,0,0,0,-1,1,0,-1,-1,-1
0,0,0,1,-1,0,0,0,0,13,4,5,0,0,0,0,71,0,0,0,18,84
0,0,0,-1,-1,0,0,0,0,15,5,6,0,1,0,0,24381,0,0,0,5,110
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,1,92
0,0,0,-1,-1,1,0,0,0,17,5,6,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,9498,0,0,0,6,133
0,0,0,-1,-1,-1,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,12,15
0,0,0,-1,-1,0,0,0,0,16,5,6,0,0,0,0,-1,0,0,0,4,493
0,0,0,-1,-1,-1,0,0,0,25,5,6,0,1,0,0,-1,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,15,4,5,0,0,0,0,4436,0,0,0,4,219
0,0,-1,1,0,1,0,0,0,19,4,5,0,0,0,0,26496,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,3,0,0,0,0,19
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,1,96
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,7132,0,0,0,1,1
0,0,0,1,-1,0,0,0,0,19,4,5,0,0,0,0,24638,0,0,0,7,19
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,108
0,0,0,1,-1,-1,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,57166,0,0,0,5,61
0,0,0,1,-1,0,0,0,0,23,5,6,0,0,0,0,2635,0,0,0,23,109
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,7941,0,0,0,0,72
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,1821
0,0,0,-1,-1,0,0,0,0,15,5,6,0,0,0,0,-1,0,0,0,0,0
0,0,0,0,-1,-1,0,0,0,20,4,5,0,0,0,0,-1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,14,91
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,-1,0,0,0,6,22
