Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
1,1,-1,0,0,-1,0,1,32,20,38,42,0,0,1,0,-1,0,0,0,0,0
1,0,-1,-1,-1,1,0,1,18,44,17,19,0,0,1,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,45,34,21,27,0,2,0,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,57,30,11,13,0,2,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,52,10,7,8,0,0,0,1,20473,0,0,0,0,0
1,0,0,-1,-1,-1,0,1,22,27,16,21,0,0,0,1,702,0,0,0,0,4
1,1,-1,-1,-1,1,0,1,41,24,7,9,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,62,19,12,13,1,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,1,42,22,7,9,0,0,0,0,-1,0,0,-1,-1,-1
1,0,0,-1,-1,-1,0,1,23,29,17,22,0,1,0,2,702,0,0,0,0,4
1,1,-1,-1,-1,-1,0,1,88,7,22,25,1,0,0,0,42289,0,0,0,0,0
1,0,-1,0,0,1,0,1,35,25,14,15,0,0,0,1,32244,0,0,-1,-1,-1
1,0,0,-1,-1,0,0,1,1,19,13,16,0,0,1,1,20940,0,0,0,1,7
1,1,-1,-1,-1,1,0,0,12,16,4,6,0,0,0,0,-1,0,0,-1,-1,-1
1,1,0,0,-1,0,0,1,48,8,9,11,0,0,0,0,-1,0,0,0,21,59
1,0,0,0,0,0,0,0,1,20,7,10,0,0,0,0,20940,0,0,0,0,1
1,0,0,-1,-1,0,0,0,25,15,9,10,0,0,0,0,-1,0,0,0,3,466
1,1,1,-1,-1,1,0,0,1,35,6,8,0,2,0,0,-1,0,0,-1,-1,-1
1,1,1,-1,-1,0,0,1,58,16,9,11,1,0,0,0,19318,1,0,0,3,1
1,1,-1,-1,-1,-1,0,0,13,13,5,7,0,0,0,0,-1,0,0,0,17,1
